beer_name,brewery_name,beer_style,review_taste,beer_abv
&#268;erná Hora Leák,Pivovar &#268;erná Hora,Czech Pilsener,2.5,4.8
&#268;erná Hora Moravské Sklepní,Pivovar &#268;erná Hora,Czech Pilsener,4,4
&#268;erná Hora Páter,Pivovar &#268;erná Hora,Czech Pilsener,3.2,4.4
&#268;erná Hora Tas,Pivovar &#268;erná Hora,Czech Pilsener,3.5,4
&#268;erná Hora Velen,Pivovar &#268;erná Hora,Hefeweizen,3.25,4.8
&#268;erné Zámecké,Chodovar Brewery,Munich Dunkel Lager,2.75,4.2
&#268;ertovský Speciál 16°,Pivovar a Sodovkárna Jihlava,Euro Dark Lager,3.5,7.1
&#346;l&#261;skie Mocne,Browary Górno&#347;l&#261;skie S.A. W Zabrzu,Euro Strong Lager,3,7
&#960;&#964;&#953;&#963;&#940;&#957;&#951; (tisane),Les Brasseurs du Hameau,Herbed / Spiced Beer,3.75,2
'55' Lager,Northern Breweries Ltd.,American Pale Lager,3,5
'Fèileadh Air Teine' - Scottish Oatmeal Stout,Hart & Thistle,Oatmeal Stout,3,5.8
'Pooya Porter,Calapooia Brewing Company,American Porter,4.5,5.5
'T Zelfde,Brouwerij Bosteels,Belgian Pale Ale,2.583333333,6.1
'Tis The Saison,Lake Bluff Brewing Company,Saison / Farmhouse Ale,3.75,6
'Vagabond Blonde' Blonde Ale,Shire Reeve Brewing Company,American Blonde Ale,3,5.5
'n Maurootje Lauwse Saison,Picobrouwerij Alvinne / Den Bierzolder,Saison / Farmhouse Ale,3.25,6
'na Biretta Chiara,Birrificio Ostiense Artigianale (BOA),German Pilsener,3,4.9
'na Biretta Nera,Birrificio Ostiense Artigianale (BOA),Schwarzbier,4,5.5
't Gaverhopke / Tired Hands Bitter Sweet Symphony,Brouwerij 't Gaverhopke,Belgian IPA,4.25,7.8
't Gaverhopke De Kriek (Red Cap),Brouwerij 't Gaverhopke,Fruit / Vegetable Beer,4.5,7
't Gaverhopke Den Blond 8° (White Cap),Brouwerij 't Gaverhopke,Belgian Strong Pale Ale,2.833333333,8
't Gaverhopke Den Bruin 8° (Blue Cap),Brouwerij 't Gaverhopke,Belgian Strong Dark Ale,3.5,8
't Gaverhopke Extra,Brouwerij 't Gaverhopke,Belgian Strong Dark Ale,4.014084507,12
't Gaverhopke Zingende Blondine,Brouwerij 't Gaverhopke,Belgian Strong Pale Ale,4,9.8
't Goeye Goet Dubbel,Bierbrouwerij Openluchtmuseum Arnhem,Dubbel,4.5,7
't Goeye Goet Winterbier,Bierbrouwerij Openluchtmuseum Arnhem,Belgian Strong Dark Ale,3.5,8
't Goeye Goet Wit Bier,Bierbrouwerij Openluchtmuseum Arnhem,Witbier,4.5,5
't Hartje( For Hbry De B's & 1st Year CVO-IVV Gent),Brouwerij De Graal,Belgian Strong Pale Ale,4,9.5
't Hommelhof Cuvée Spéciale,Brouwerij Van Eecke N.V.,Belgian Strong Pale Ale,4,7
't Schoenlappertje,Scheldebrouwerij,Fruit / Vegetable Beer,3.45,5
't Smisje BBBourgondier,Brouwerij Smisje,Quadrupel (Quad),3.967741935,12
't Smisje Blond,Brouwerij Smisje,Belgian Pale Ale,3.083333333,6
't Smisje Calva Reserva,Brouwerij Smisje,Belgian Strong Dark Ale,3.972222222,12
't Smisje Cuvee 2005,Brouwerij Smisje,Belgian Strong Dark Ale,4,10
't Smisje Dubbel,Brouwerij Smisje,Dubbel,3.792307692,9
't Smisje Fiori,Brouwerij Smisje,Belgian Strong Pale Ale,3,9
't Smisje Grande Reserva,Brouwerij Smisje,Belgian Strong Dark Ale,3.76744186,11
't Smisje Great Reserva,Brouwerij Smisje,Belgian Strong Dark Ale,3.775,10
't Smisje Halloween,Brouwerij Smisje,Pumpkin Ale,3.5,10.5
't Smisje Honingbier Blond,Brouwerij Smisje,Belgian Pale Ale,4,6
't Smisje Honingbier Bruin,Brouwerij Smisje,Belgian Dark Ale,3.5,6
't Smisje IPA+,Brouwerij Smisje,Belgian IPA,3.966666667,10
't Smisje Kerst,Brouwerij Smisje,Belgian Strong Dark Ale,4.0078125,11
't Smisje Kuvee Elektrik 979W,Brouwerij Smisje,Belgian Strong Dark Ale,3.6875,9
't Smisje Tripel,Brouwerij Smisje,Tripel,3.555555556,9
't Winterkuninkske,Bierbrouwerij Sint-Servattumus,Belgian Strong Dark Ale,3,9
(512) Alt,(512) Brewing Company,Altbier,3.909090909,6
(512) Black IPA,(512) Brewing Company,American Black Ale,4.038461538,7
(512) Brandy Barrel Aged ONE,(512) Brewing Company,Belgian Strong Pale Ale,4.0625,8
(512) Bruin,(512) Brewing Company,American Brown Ale,4.28125,7.6
(512) Cascabel Cream Stout,(512) Brewing Company,Milk / Sweet Stout,3.571428571,6
(512) IPA,(512) Brewing Company,American IPA,4.185185185,7
(512) ONE,(512) Brewing Company,Belgian Strong Dark Ale,3.807692308,8
(512) Pale,(512) Brewing Company,American Pale Ale (APA),3.678571429,5.5
(512) Pecan Porter,(512) Brewing Company,American Porter,4.151898734,6.8
(512) TWO,(512) Brewing Company,American Double / Imperial IPA,3.852941176,9
(512) Three,(512) Brewing Company,Tripel,4.142857143,9.5
(512) Whiskey Barrel Aged Double Pecan Porter,(512) Brewing Company,American Porter,4.135135135,8.2
(512) Wit,(512) Brewing Company,Witbier,3.972222222,5.5
(904) WEISSGUY,Engine 15 Brewing Company,Hefeweizen,4.5,4.5
(STOUT),Yakima Craft Brewing Co.,American Stout,3.4,6.3
(Styrian) Anniversary IPA,Sly Fox Brewing Company,American IPA,3.75,7
(Val) Addiction,Hart Brewery,English Stout,3.5,4.8
(s)Cream Ale,The Liberal Cup Public House & Brewery,Cream Ale,3.5,4.5
.357 Imperial Pilsner,Flossmoor Station Restaurant & Brewery,American Double / Imperial Pilsner,3.25,12
0% Brett Saison De Lente,The Bruery,Saison / Farmhouse Ale,3.7,6.5
06 Old Ton O' Bricks Barleywine,Martha's Exchange,American Barleywine,4.25,9.1
077XX,Carton Brewing Company,American Double / Imperial IPA,4,7.8
077XX Double IPA,Carton Brewing Company,American Double / Imperial IPA,4.25,7.8
0909 Cuvée Blonde,MT Brewery,Belgian Pale Ale,4,5.2
1 Door Flemish Style Sour Ale,Hermitage Brewing,Flanders Oud Bruin,2.172413793,7
1 Door Saison Style Ale,Hermitage Brewing,Saison / Farmhouse Ale,3.277777778,7
1.5 IPA,Bristol Brewing Company,American IPA,3.75,8
1/2 Weizen Bier,Wuppertaler Brauhaus GmbH,Hefeweizen,4,5.3
1/2 Wit,Goose Island Beer Co.,Witbier,3.25,5.5
10 (Dieci),Birrificio Brùton,Quadrupel (Quad),3.7,10
10 Barrel IPA,10 Barrel Brewing Co.,American IPA,3,6.5
10 Barrel IPA,Maritime Pacific Brewing Company,American IPA,3.5,6.5
10 Barrel Light,10 Barrel Brewing Co.,American Blonde Ale,4,4.7
10 Blocks South,NoDa Brewing Company,American Pale Ale (APA),4,5.5
10 Commandments,The Lost Abbey,Belgian Strong Dark Ale,3.984641638,10
10 Commandments - Bourbon Barrel-Aged,The Lost Abbey,Belgian Strong Dark Ale,3.25,10
10 Day Scottish Ale,Flix Brewhouse,Scottish Ale,3,5.4
10 Degrees Below,Scuttlebutt Brewing Company,Weizenbock,3.527777778,7.4
10 E Lode,Microbirrificio Opperbacco,Belgian Strong Dark Ale,4,10
10 Maradó,Cerveceria Revolucion,American Adjunct Lager,3.5,5
10 Squared Fish Tale Ale,Fish Brewing Company / Fishbowl Brewpub,American Barleywine,3.95,10
10 Wheat Ale,Fitger's Brewhouse,American Dark Wheat Ale,3.75,5.7
10 Year Clelebration Ale,Harmon Restaurant & Brewery,American IPA,4.5,6.5
10-10-10 IPA,Swamp Head Brewery & Tasting Room,American Double / Imperial IPA,3.911764706,10
10-10-10 IPA (Whiskey Barrel Aged),Swamp Head Brewery & Tasting Room,American Double / Imperial IPA,4.25,10
10-10-100 IPA,Swamp Head Brewery & Tasting Room,American Double / Imperial IPA,4.25,10
10,Mikkeller ApS,American IPA,3.830097087,6.9
100 Mile Wheat,Rosie's Brewpub,American Pale Wheat Ale,3.5,5.2
100% Barrel Fermented Autumn Maple,The Bruery,Fruit / Vegetable Beer,3.657142857,10
100% Brett Autumn Maple,The Bruery,American Wild Ale,4,10
1000 IBU,Mikkeller ApS,American Double / Imperial IPA,3.868852459,9.6
1000 IBU - Barrel Aged,Mikkeller ApS,American Double / Imperial IPA,2.75,9.6
1000 IBU Light,Mikkeller ApS,American Pale Ale (APA),3.166666667,4.9
1000 Monkeys Imperial Stout,Paddock Wood Brewing Co.,Russian Imperial Stout,3.5,10
1000,Martha's Exchange,Belgian Strong Pale Ale,3.75,8.2
1000,North Fork Brewing,American Barleywine,4,11
1000K Blonde,The Moon Under Water Pub & Brewery,English Pale Ale,4,4.2
1001 Bandits,La Gueule de Bois,Old Ale,2.833333333,5
101 Oktan,Nynäshamns Angbryggeri,Russian Imperial Stout,4,6.5
1060 EZ Taxation Ale,New Old Lompoc Brewery,Fruit / Vegetable Beer,3,6.7
1066 Ale,St. Stan's Brewing Co.,English Pale Ale,3.5,6
1066,Museum Brewing Company / White Shield Brewery,American Blonde Ale,3,4.3
10:13 Oatmeal Stout,Smuggler's Brewpub & Grille,American Stout,3.5,6.3
10W-30 Imperial Oatmeal Stout,Five Seasons North,American Double / Imperial Stout,4,9.4
10th Anniversary Ale,Blue Frog Grog & Grill,American Double / Imperial Stout,3.666666667,10.5
10th Anniversary Ale,R & B Brewing Co.,Dubbel,4.333333333,8.2
10th Anniversary Ale,"Swashbuckler Brewing Co, LTD",Dunkelweizen,3.5,5.4
10th Anniversary Double India Pale Ale,"Middle Ages Brewing Co., Ltd.",American Double / Imperial IPA,4.079096045,10
10th Anniversary Oak Aged Rye Barleywine,Papago Brewing,American Barleywine,3.5,9.5
10th Anniversary Special Russian Imperial Stout,Coast Range Brewing Co.,Russian Imperial Stout,4.5,11.4
10th Anniversary Strong Belgian,Beach Chalet Brewery and Restaurant,Belgian Strong Dark Ale,5,9.25
10th Anniversary Thunder Hop IPA,Church Brew Works,American IPA,3.833333333,6
10th Anniversary Uber Maibock,Great Waters Brewing,Maibock / Helles Bock,4.5,6.6
10th Street Cherry Wheat,Raccoon River Brewing Company,American Pale Wheat Ale,3.5,5.75
11 Piper Ale,Gaslight Brewery & Restaurant,Belgian Strong Dark Ale,3,8.1
11 Siècles De Normandie,Brasserie De La Chapelle,American Barleywine,4,11
11,Bear Republic Brewing Co.,American Double / Imperial IPA,3.583333333,8.3
1100 Wheat Wine,Fitger's Brewhouse,Wheatwine,4.6,11.5
1100,Bitter End Brewery and Bistro,Quadrupel (Quad),4.5,12.1
110K+OT Batch #1 - Der Rauch Gott,Cigar City Brewing,Smoked Beer,4.571428571,11.4
110K+OT Batch #2 - I.R.I.S.,Cigar City Brewing,Russian Imperial Stout,4.075471698,11.5
110K+OT Batch #2 - I.R.I.S. - Barrel Aged,Cigar City Brewing,Russian Imperial Stout,4.177777778,11.5
110K+OT Batch #2 - I.R.I.S. - Cherry Hazelnut Cacao Nib Bourbon Barrel Aged,Cigar City Brewing,Russian Imperial Stout,4.5,11.5
110K+OT Batch #3 - The Other West Coast IPA,Cigar City Brewing,American Double / Imperial IPA,3.212389381,10
110K+OT Batch #3 - The Other West Coast IPA - Cedar Aged (Humidor Series),Cigar City Brewing,American Double / Imperial IPA,4.071428571,10
110K+OT Batch #4 - Imperial Red Ale,Cigar City Brewing,American Amber / Red Ale,3.638461538,10.2
111 Blonde,Chama River Brewing Company,American Blonde Ale,4,4.4
111 Pilsener,Marble Brewery,German Pilsener,3.25,5.4
1133 Biere D'Abbaye,Brouwerij Haacht NV,Belgian Pale Ale,3.166666667,6.2
11th Anniversary Double IPA,Midnight Sun Brewing Co.,American Double / Imperial IPA,4.083333333,9
11th Anniversary Double Wheat,"Middle Ages Brewing Co., Ltd.",American Pale Wheat Ale,3.677966102,8.5
11th Anniversary Pale Ale ( Project XI ),Flying Bison Brewing Company,American Pale Ale (APA),2.25,6
11th Anniversary Scottish Ale,Speakeasy Ales & Lagers,Scottish Ale,3.25,8.5
11th Hour IPA,Crow Peak Brewing,American IPA,3.315789474,6.5
11th Hour Pale Ale,Whitstran Brewing Company,American Pale Ale (APA),4,5.6
12 Daze Caramel Spiced Amber,SanTan Brewing Co.,American Amber / Red Ale,3.5,6.5
12 Dogs Of Christmas Ale,Thirsty Dog Brewing Company,Winter Warmer,3.861538462,8.3
12 Horse Ale,Genesee Brewing Co. / Dundee Brewing Co.,American Blonde Ale,2.810344828,5.1
12 Step IPA,Cascade Brewing / Raccoon Lodge & Brewpub,American IPA,4,6.4
12 Year Anniversary Ale,No-Li Brewhouse,American IPA,4,8.2
12 Year Witbeer,Midnight Sun Brewing Co.,Witbier,2,5.5
120 Minute IPA,Dogfish Head Brewery,American Double / Imperial IPA,3.920717593,18
120 Shilling Ale,Lake Placid Craft Brewing Company,Scotch Ale / Wee Heavy,5,9.2
125 Celebratory Stout,Wadworth and Company Ltd.,English Stout,2.5,4
1260 Triple India Pale Ale,Stone Coast Brewing Co.,American Double / Imperial IPA,4.392857143,10
12th Anniversary Ale,Central Coast Brewing,American Barleywine,2,12
12th Anniversary Imperial Porter,"Middle Ages Brewing Co., Ltd.",English Porter,4,9
12th Anniversary Undercover Investigation Shut-Down Ale,Lagunitas Brewing Company,American Double / Imperial IPA,3.977777778,9.9
12th Street Pilsner (15th Anniversary),Rogue Ales,Czech Pilsener,4,5.5
13 (Thirteen) Degrees,DuClaw Brewing Company,Hefeweizen,3.75,4.8
13 Hour Imperial Stout,Brockway Chophouse,Russian Imperial Stout,2.5,10
13 Rebels ESB,French Broad Brewing Co.,Extra Special / Strong Bitter (ESB),3.565789474,5.2
13,BFM Brasserie Des Franches-Montagnes,Fruit / Vegetable Beer,4.5,7.5
13,Barley Brown's Brewpub,American Black Ale,4,9
130 Light,Pyerviy Pivovarenniy Zavod,Euro Pale Lager,3,4.5
132 Cents IPA,Victory Brewing Company,American IPA,4.416666667,6.8
13e Étage,Brasserie Dieu Du Ciel,Herbed / Spiced Beer,3.5,5.1
13th Anniversary Ale,Central Coast Brewing,American Barleywine,3.5,12.5
13th Anniversary Imperial India Pale Ale,No-Li Brewhouse,American Double / Imperial IPA,3.5,8.5
13th Commandment,Le Saint-Bock Brasserie Artisanale Inc.,American Barleywine,4,10.5
14'ER ESB,Avery Brewing Company,Extra Special / Strong Bitter (ESB),3.541958042,5.13
1429 Das Original,Privatbrauerei Wittingen GmbH,German Pilsener,4,5.6
1488 Blonde Ale,Tullibardine Distillery,English Pale Ale,3.625,4
1488 Strong Ale,Tullibardine Distillery,English Brown Ale,3.625,5
1488 Traditional Ale,Tullibardine Distillery,English Pale Ale,3.5,4.5
1488 Whisky Beer,Tullibardine Distillery,English Strong Ale,3.333333333,7
1492 IPA,Flossmoor Station Restaurant & Brewery,American IPA,3.888888889,8.1
1492 IPA,Toppling Goliath Brewing Company,American IPA,4.25,6
14th Anniversary Ale,Rock Bottom Restaurant & Brewery,Belgian Strong Pale Ale,4,8.7
14th Anniversary DIPA,Rock Bottom Restaurant & Brewery,American Double / Imperial IPA,4.5,8.6
14th Anniversary English Brown Ale,"Middle Ages Brewing Co., Ltd.",English Brown Ale,3.875,5.6
15,Boundary Bay Brewery & Bistro,American Strong Ale,4.166666667,11
15,Ellicottville Brewing Co.,American Brown Ale,3.5,8.4
151 Anniversary Ale,Strange Brewing Company,Tripel,4,9
1516 Bavarian Lager,Okanagan Spring Brewery,Munich Helles Lager,3.426470588,5
1554 Enlightened Black Ale,New Belgium Brewing,Belgian Dark Ale,3.913251962,5.6
15th Anniversary Ale,Climax Brewing Company,American Barleywine,4.125,10.5
15th Anniversary Ale,Empyrean Brewing Company,American Strong Ale,4,9
15th Anniversary Ale,Flossmoor Station Restaurant & Brewery,Tripel,3.333333333,15
15th Anniversary Belgian Quadruple,Legend Brewing Co.,Quadrupel (Quad),4,11.4
15th Anniversary Bourbon Barrel Aged Chocolate Stout,Engine House No.9,American Stout,4,8.8
15th Anniversary Double Wench,"Middle Ages Brewing Co., Ltd.",American Strong Ale,3.933333333,12
15th Anniversary Imperial Bohemian Pilsner,Dunedin Brewery,American Double / Imperial Pilsner,3.5,6.6
15th Anniversary Wood Aged,Great Divide Brewing Company,American Double / Imperial IPA,4.079365079,10
15th Annivesary Cascadian Dark Ale,Third Street Aleworks,American Black Ale,3.5,6
16 Ender,Hirschbrauerei GmbH & Co. KG,Bock,3,7
16 Ton IPA,Breaker Brewing Company,American Double / Imperial IPA,3,10.6
16 Year Anniversary Ale,No-Li Brewhouse,American IPA,4,6.7
16,Ellicottville Brewing Co.,American Strong Ale,4.25,8.4
1600s Winter Spiced Ale,Small Town Brewery,Winter Warmer,4,8
1608 Québec 2008,Microbrasserie de l'ile d'Orléans,American Blonde Ale,3.5,5
1608,Ferme Brasserie Schoune,American Amber / Red Ale,3.285714286,5
1612er Zwickl Bier,Hofbräuhaus Traunstein Josef Sailer KG,Keller Bier / Zwickel Bier,3.9,5.3
1633 Original Dunkel,Bürgerbräu Bad Reichenhall,Munich Dunkel Lager,4.25,5.1
1635 (UU375),Brouwerij De Leckere,Euro Pale Lager,4,5
1636 Belgian Dubbel,Mountain Sun Pub & Brewery,Dubbel,3.5,8.5
1642 Bitter,The Three Tuns Brewery,English Bitter,4.5,3.8
1643 Original Lagerhell,Würzburger Hofbräu AG,Munich Helles Lager,3.5,4.9
1673,Brasserie Saint-Monon,Witbier,3.5,7
16th Anniversary ESB,Goose Island Beer Co.,Extra Special / Strong Bitter (ESB),4,6.2
16th Anniversary India Black Ale,"Middle Ages Brewing Co., Ltd.",American Black Ale,4.25,8
16th Anniversary Wood Aged,Great Divide Brewing Company,American Double / Imperial IPA,3.825242718,10
16th Avenue Pilsner,Big River Grille & Brewing Works,American Pale Lager,3.2,4
16th Avenue Pilsner,Big River Grille & Brewing Works,German Pilsener,2,4
1701 Tricentennial Barleywine,Oggi's Pizza & Brewing Co.,American Barleywine,3,10.5
1702,Ferme Brasserie Schoune,Witbier,3,5
1731 Dark,St. Sebastiaan Belgian Microbrewery,Belgian Dark Ale,3.9,5
1757 GW,Cottrell Brewing Co.,American Pale Ale (APA),3.666666667,4.5
1776,Minneapolis Town Hall Brewery,American IPA,3.833333333,6.85
1784,UAB Švyturys,Dortmunder / Export Lager,3.222222222,5.4
1787 Abbey Single,New Jersey Beer Company,Belgian Pale Ale,2.9,4.8
1795 Original Czech Lager,Bud&#283;jovický M&#283;&#357;anský Pivovar,Czech Pilsener,2.944444444,4.7
17th Anniversary ESB,Goose Island Beer Co.,Extra Special / Strong Bitter (ESB),4.5,6
17th Anniversary Wood Aged Double IPA,Great Divide Brewing Company,American Double / Imperial IPA,3.841176471,10
18 Hands Brown Ale,Colonial Brewing Company,English Brown Ale,4,4.9
18,Bierbrouwerij Sint-Servattumus,Belgian Strong Dark Ale,4,7.5
1800 Old English IPA,Minneapolis Town Hall Brewery,English India Pale Ale (IPA),4.141025641,6.8
1811 Pre-Prohibition Lager,Fort George Brewery + Public House,American Adjunct Lager,3.9,5.1
1812 India Pale Ale,Emerson's Brewery,English India Pale Ale (IPA),3.854166667,4.7
1814 ESB,Chocolate City Beer,Extra Special / Strong Bitter (ESB),2.5,6
1825,Greenbush Brewing Company,Belgian Strong Dark Ale,3.333333333,9.3
1830 Porter,Paddock Wood Brewing Co.,English Porter,4.5,7
1837,Unibroue,Belgian Strong Pale Ale,3.814516129,7
1849,Joseph Holt Group plc,Extra Special / Strong Bitter (ESB),3.333333333,4.5
1850 London Porter,Full Circle Brewing Co.,English Porter,4.125,5.6
1850 Porter,Paddock Wood Brewing Co.,English Porter,4,5.3
1850 Scotch Ale,JoBoy's Brew Pub,Scottish Ale,3.5,5
1855 Celebration Lager,Miller Brewing Co.,American Adjunct Lager,2.864197531,4.85
"186,000 MPS",Listermann Brewing Supply & Mfg,American Malt Liquor,3.2,12
1871 Lager,Emmett's Brewing Company,American Pale Lager,4,6
1872 Porter,Elland Brewery,American Porter,4.5,6.5
1874,Pyerviy Pivovarenniy Zavod,Euro Pale Lager,2.5,5.3
1881,Microbrasserie La Chouape,Belgian Dark Ale,3.666666667,6.7
1888 Bock,Jacob Leinenkugel Brewing Company,Bock,3.248322148,5.1
1888,Anaheim Brewery,California Common / Steam Beer,3.5,5.5
1890 Schwarzbier,August Schell Brewing Company,Schwarzbier,4.3125,5.2
1891 Honey Porter,The Pumphouse Bar,English Porter,4,5
1892 Traditional Ale,Quidi Vidi Brewing Company,American Amber / Red Ale,3.185185185,5
1896 Wood Island Old Ale,Gritty McDuff's Brewing Company,Old Ale,4,7
1897 Stanley Park Amber,Hell's Gate Brewing Company,American Amber / Red Ale,3.444444444,5.1
18th Anniversary ESB,Goose Island Beer Co.,Extra Special / Strong Bitter (ESB),4.166666667,6
18th Anniversary Pilsner,Deschutes Brewery,German Pilsener,4.015151515,5
18th Century India Pale Ale,Yo-Ho Brewing Company,English India Pale Ale (IPA),3,5
1900 Amber Lager,Fort Collins Brewing,American Amber / Red Lager,3.430555556,4.5
1900 Spéciale Bonnes Fêtes,Brasserie Gigi,Belgian Strong Pale Ale,3.5,8
1905 Century Ale,Rhymney Brewery Ltd,English Dark Mild Ale,3,3.8
1906 Reserva Especial,"Hijos De Rivera, S.A.",Bock,2.9,6.5
1906 Reserva Especial Can,"Hijos De Rivera, S.A.",American Amber / Red Lager,5,4.6
1908,Witch's Hat Brewing Co.,Smoked Beer,5,6.5
1913 Traditional Kolsch,Grand River Brewing,Kölsch,3.363636364,4.5
1914 Porter,Brouwerij De Molen,English Porter,3.659090909,5.8
1919 - Choc Beer,Choc Beer Co. / Pete's Place,American Pale Wheat Ale,3.361788618,5
192 Brewing Shticky Blonde,192 Brewing Company,American Pale Wheat Ale,2,6
1941 New Yorker Beer,Phantom Canyon Brewing Company,American Adjunct Lager,3.5,4.3
1968 Lomza Petne,Browar &#321;om&#380;a Sp. z o.o.,Dubbel,3.5,7.8
1984 Golden Ale,Mattingly Brewing Company,Cream Ale,3.75,4.7
1991,Nodding Head Brewery and Restaurant,American Amber / Red Ale,3,5.5
19th Anniversary Belgian Style Golden Ale,Deschutes Brewery,Belgian Strong Pale Ale,3.587719298,8.7
1SB,Brewers Union Local 180,English Bitter,2.5,4.3
1er Anniversaire,Brasserie Dunham,Dubbel,3.5,7.2
1st Anniversary Ale,Flat Tail Brewing,American Wild Ale,4,8
1st Anniversary Ale: Imperial Blood Orange Wheat,Hangar 24 Brewery,American Pale Wheat Ale,3.75,9.05
1st Anniversary Red Wheat,The Tap Brewing Company,American Dark Wheat Ale,4.142857143,6.1
"2  Penny Ale, Bourbon Barrel Aged",Skagit River Brewery,American Barleywine,4.5,13
2 Brewers 1 Pint,Bluegrass Brewing Co. - East St. Matthew's,American Brown Ale,4,5
2 Caps Blonde,Brasserie Artisanale Christophe Noyon,Bière de Garde,4.25,6
2 Daves IPA,Powerhouse Brewing Company's Columbus Bar,American IPA,4,7
2 Hills Maibock,Hargreaves Hill Brewing Company,Maibock / Helles Bock,4,6.8
2 Legit 2 Wit,Mother Earth Brew Co.,Witbier,3,5.7
